CIF_NIF,n_EMPL,TOT_ARPU_3m,TOT_LINEAS_FYM,ARPU_F_3m,ARPU_M_3m,TOT_LINEAS_POT,cADSL,cFusionado
63,2,77.1673,3,63.8673,13.3,0,0,0
64,3,65.1826,2,46.0826,19.1,0,1,1
65,10,82.942,4,82.942,0,0,0,0
66,7,71.2088,3,51.6788,19.53,0,0,0
67,3,96.9246,2,60.7346,36.19,0,1,1
68,15,68.5208,3,68.5208,0,0,0,0
69,5,114.7374,3,69.6474,45.09,0,1,1
70,0,44.1311,1,44.1311,0,0,1,0
71,0,14.7528,1,14.7528,0,0,0,0
72,0,29.0064,1,29.0064,0,0,0,0
73,4,29.5679,1,29.5679,0,0,0,0
74,1,9,1,0,9,0,0,0
75,0,25.67,1,0,25.67,0,0,0
76,10,14.9236,1,14.9236,0,0,0,0
77,4,25.41,1,0,25.41,0,0,0
78,7,24.27,1,0,24.27,0,0,0
79,3,86.3107,3,52.4907,33.82,0,1,1
80,2,116.8554,5,73.0754,43.78,0,0,0
81,1,71.7943,3,61.3843,10.41,0,0,0
82,4,125.2132,3,125.2132,0,0,0,0
83,5,107.0174,3,98.6974,8.32,0,1,0
84,1,200.3412,7,156.5212,43.82,0,1,1
85,0,140.0753,2,140.0753,0,0,1,0
86,3,23.1369,1,23.1369,0,0,0,0
87,19,5,3,0,5,0,0,0
88,32,25.6156,1,25.6156,0,1,0,0
89,4,20.4119,1,20.4119,0,0,0,0
90,0,59.0811,2,18.9811,40.1,0,0,0
91,5,32.9866,2,23.6666,9.32,0,1,1
92,2,109.7632,4,48.4832,61.28,0,1,1
93,2,69.2168,2,48.2568,20.96,0,1,1
94,5,74.4778,1,74.4778,0,0,1,0
95,11,59.2591,2,59.2591,0,0,1,0
96,3,86.6278,2,72.6278,14,0,1,1
97,0,81.3354,2,81.3354,0,0,1,0
98,1,369.3302,7,317.7302,51.6,0,0,0
99,2,236.0915,5,168.7015,67.39,0,1,1
100,15,304.1519,5,304.1519,0,0,0,0
101,12,284.8276,5,284.8276,0,0,0,0
102,0,16.3798,1,16.3798,0,0,0,0
103,9,38.8725,2,38.8725,0,0,0,0
104,0,35.1605,1,35.1605,0,0,1,0
105,2,44.967,2,44.967,0,0,0,0
106,101,16.692,3,16.692,0,0,0,0
107,8,9,1,0,9,0,0,0
108,1,46.47,2,0,46.47,0,0,0
109,0,11.59,1,0,11.59,0,0,0
110,11,42.2335,1,42.2335,0,1,0,0
111,2,50.022,4,33.412,16.61,0,1,1
112,9,17.36,1,0,17.36,0,0,0
113,4,76.9955,3,54.1555,22.84,2,1,1
114,0,182.7448,5,143.9348,38.81,0,1,1
115,16,221.2212,9,212.2212,9,0,0,0
116,44,391.5397,28,339.0997,52.44,1,0,0
117,2,4.6192,1,4.6192,0,2,0,0
118,1,31.05,1,0,31.05,0,0,0
119,5,16.7024,1,16.7024,0,0,0,0
120,12,31.3368,4,20.9968,10.34,0,0,0
121,2,29.62,1,0,29.62,0,0,0
122,2,28.73,1,0,28.73,0,0,0
123,0,14.379,1,14.379,0,0,0,0
124,2,59.1872,1,59.1872,0,2,0,0
125,4,83.4347,3,72.3347,11.1,1,0,0
126,7,74.6777,2,44.7677,29.91,0,1,1
127,7,83.6007,4,83.6007,0,0,1,0
128,3,66.3331,2,66.3331,0,0,0,0
129,3,89.3615,2,78.2115,11.15,0,1,1
130,0,60.7727,1,60.7727,0,0,1,0
131,0,170.7607,6,138.3207,32.44,0,1,1
132,0,156.8459,3,156.8459,0,0,0,0
133,28,195.1527,4,195.1527,0,0,1,0
134,0,165.1106,3,165.1106,0,0,0,0
135,5,158.801,2,158.801,0,0,0,0
136,6,20.446,1,20.446,0,0,0,0
137,7,21.0825,1,21.0825,0,0,0,0
138,3,45.5847,2,45.5847,0,0,1,0
139,15,14.379,1,14.379,0,0,0,0
140,9,26.953,1,26.953,0,0,0,0
141,0,40.3348,1,40.3348,0,0,0,0
142,0,38.146,2,22.096,16.05,0,0,0
143,1,11.7,1,0,11.7,0,0,0
144,0,101.1389,5,91.8889,9.25,0,0,0
145,1,56.2512,2,47.0012,9.25,0,1,1
146,0,81.7822,2,81.7822,0,0,0,0
147,6,94.553,2,94.553,0,0,0,0
148,6,138.5032,4,127.5032,11,0,0,0
149,7,48.4585,1,48.4585,0,0,1,0
150,1,334.3876,7,218.5876,115.8,0,1,0
151,14,161.2596,2,161.2596,0,0,0,0
152,10,213.2052,4,213.2052,0,0,0,0
153,9,37.8129,1,37.8129,0,1,0,0
154,2,67.86,2,0,67.86,0,0,0
155,13,40.327,3,40.327,0,0,0,0
156,11,14.379,1,14.379,0,1,0,0
157,6,51.7065,3,31.6065,20.1,0,0,0
158,2,81.7802,3,50.9202,30.86,0,1,1
159,2,101.2011,4,51.4611,49.74,0,1,1
160,2,67.9348,1,67.9348,0,0,1,0
161,0,100.3852,2,100.3852,0,0,0,0
162,4,184.8569,3,131.7169,53.14,0,1,1
163,1,439.7754,5,354.7154,85.06,0,1,1
164,16,220.7368,4,200.7368,20,0,0,0
165,31,66.13,1,0,66.13,2,0,0
166,2,14.379,1,14.379,0,0,0,0
167,0,16.7024,1,16.7024,0,0,0,0
168,3,25.4656,1,25.4656,0,0,0,0
169,2,56.7133,2,45.7133,11,0,1,1
170,0,54.9847,1,54.9847,0,0,1,0
171,3,105.9168,3,59.2268,46.69,0,1,1
172,0,134.6992,4,109.1992,25.5,0,0,0
173,3,57.8179,1,57.8179,0,0,1,0
174,2,125.5227,2,125.5227,0,0,1,0
175,7,82.7831,2,82.7831,0,0,0,0
176,0,2410.46,1,0,2410.46,0,0,0
177,1,165.3428,3,131.5328,33.81,0,0,0
178,2,26.31,1,0,26.31,0,0,0
179,2,7.7,1,0,7.7,0,0,0
180,4,43.1058,1,43.1058,0,0,0,0
181,0,14.379,3,14.379,0,0,0,0
182,0,16.4451,1,16.4451,0,0,0,0
183,0,25.25,1,0,25.25,0,0,0
184,0,9.92,1,0,9.92,0,0,0
185,0,93.6248,1,93.6248,0,0,1,0
186,0,60.2429,6,60.2429,0,0,0,0
187,1,187.6715,5,143.9915,43.68,0,1,0
188,15,203.4896,4,149.1596,54.33,0,0,0
189,4,25.36,2,0,25.36,0,0,0
190,3,13.18,1,0,13.18,0,0,0
191,0,20.4119,1,20.4119,0,0,0,0
192,14,26.4023,1,26.4023,0,0,1,0
193,0,24.172,1,24.172,0,0,0,0
194,40,19,1,0,19,0,0,0
195,3,29.049,1,29.049,0,0,0,0
196,7,46.57,1,0,46.57,0,0,0
197,0,15.9162,1,15.9162,0,0,0,0
198,10,28.758,2,28.758,0,0,0,0
199,13,115.2901,4,96.7901,18.5,0,1,0
200,2,49.8664,1,49.8664,0,0,1,0
201,0,200.9362,8,140.4862,60.45,0,0,0
202,3,166.618,4,166.618,0,0,0,0
203,0,21.6338,1,21.6338,0,0,0,0
204,1,37.99,2,0,37.99,0,0,0
205,0,5.06,1,0,5.06,0,0,0
206,0,288.2334,7,208.3934,79.84,0,1,0
207,4,30.2273,1,30.2273,0,0,0,0
208,4,39.9774,1,39.9774,0,0,1,0
209,1,41.1568,1,41.1568,0,0,1,0
210,1,41.4263,2,33.0563,8.37,0,1,1
211,0,44.1311,1,44.1311,0,0,1,0
212,1,39.6599,1,39.6599,0,0,1,0
213,2,77.0123,2,53.0223,23.99,0,1,1
214,4,58.1137,2,47.5037,10.61,0,1,1
215,2,69.9953,4,39.2853,30.71,0,1,1
216,2,54.3079,1,54.3079,0,0,1,0
217,4,68.4378,2,50.7278,17.71,0,1,1
218,2,79.8586,1,79.8586,0,0,1,0
219,1,115.0317,3,99.2317,15.8,0,1,1
220,7,96.1196,2,96.1196,0,0,1,0
221,4,74.1404,1,74.1404,0,0,0,0
222,6,144.0594,2,144.0594,0,0,0,0
223,2,25.6529,1,25.6529,0,0,0,0
224,1,14.379,1,14.379,0,0,0,0
225,2,47.63,1,0,47.63,0,0,0
226,3,16.0378,1,16.0378,0,0,0,0
227,0,9.92,1,0,9.92,0,0,0
228,0,31.48,1,0,31.48,0,0,0
229,4,4.1153,1,4.1153,0,0,0,0
230,0,40.2093,2,40.2093,0,0,0,0
231,6,43.4398,3,35.0598,8.38,0,1,1
232,2,96.4119,4,62.0219,34.39,0,0,0
233,2,109.8658,3,41.4258,68.44,0,1,1
234,12,128.1318,2,128.1318,0,0,1,0
235,19,85.0935,3,76.7735,8.32,0,0,0
236,0,240.9575,7,129.9675,110.99,0,0,0
237,5,34.58,2,0,34.58,0,0,0
238,1,39.9988,1,39.9988,0,1,1,0
239,3,19.3078,1,19.3078,0,0,0,0
240,0,32.1,1,0,32.1,0,0,0
241,0,42.8576,2,34.3376,8.52,0,1,1
242,5,29.61,1,0,29.61,0,0,0
243,7,39.9988,1,39.9988,0,0,1,0
244,5,91.156,4,45.716,45.44,0,1,1
245,5,87.8451,2,87.8451,0,0,0,0
246,1,58.1544,2,47.6744,10.48,0,1,1
247,1,255.8745,7,147.7745,108.1,0,0,0
248,0,315.7243,5,315.7243,0,0,1,0
249,1,261.1037,6,209.3737,51.73,0,1,0
250,5,179.4904,4,137.7704,41.72,0,1,0
251,4,0.1479,1,0.1479,0,2,0,0
252,0,42.298,2,42.298,0,0,0,0
253,0,36.8973,1,36.8973,0,0,0,0
254,2,7.82,1,0,7.82,0,0,0
255,13,28.758,2,28.758,0,1,0,0
256,0,50.3524,2,35.0324,15.32,0,1,1
257,2,49.0715,2,34.2815,14.79,0,1,1
258,0,24.28,1,0,24.28,0,0,0
259,0,12.92,1,0,12.92,0,0,0
260,0,41.58,1,0,41.58,0,0,0
261,1,21.1267,3,21.1267,0,0,0,0
262,0,18.08,1,0,18.08,0,0,0
263,0,76.4475,7,62.0275,14.42,0,1,1
264,3,99.4302,4,78.3702,21.06,0,0,0
265,1,112.0948,3,47.8148,64.28,0,1,1
266,11,86.1409,3,77.7209,8.42,0,1,1
267,1,396.0803,6,251.1803,144.9,0,1,0
268,8,43.8846,4,14.8346,29.05,0,0,0
269,6,23.5082,1,23.5082,0,0,0,0
270,7,26.8367,1,26.8367,0,0,0,0
271,0,45.6506,1,45.6506,0,0,1,0
272,1,23.45,1,0,23.45,0,0,0
273,1,46.1088,1,46.1088,0,0,0,0
274,3,30.45,1,0,30.45,0,0,0
275,3,113.7675,2,113.7675,0,0,1,0
276,6,125.376,4,89.676,35.7,0,1,1
277,0,99.5133,2,99.5133,0,0,1,0
278,0,329.7037,7,261.3137,68.39,0,1,0
279,2,141.3575,2,141.3575,0,0,1,0
280,0,18.8793,1,18.8793,0,0,0,0
281,1,22.3028,1,22.3028,0,0,0,0
282,2,28.7437,1,28.7437,0,0,0,0
283,1,20.05,1,0,20.05,0,0,0
284,0,35.95,2,0,35.95,0,0,0
285,0,14.6926,1,14.6926,0,0,0,0
286,5,32.3541,2,32.3541,0,0,0,0
287,3,36.2664,1,36.2664,0,0,0,0
288,3,33.9645,2,33.9645,0,0,0,0
289,0,121.429,4,112.939,8.49,0,0,0
290,1,128.4221,6,96.3221,32.1,0,0,0
291,0,71.4433,2,59.6633,11.78,0,1,1
292,0,232.6945,6,140.1145,92.58,0,0,0
293,1,179.0372,6,135.7872,43.25,0,1,1
294,6,33.6203,2,33.6203,0,0,0,0
295,8,24.6157,1,24.6157,0,0,0,0
296,0,57.0273,2,11.3173,45.71,0,0,0
297,0,57.4,1,0,57.4,0,0,0
298,1,24.017,1,24.017,0,0,0,0
299,2,63.84,1,63.84,0,0,1,0
300,10,78.0343,2,78.0343,0,0,0,0
301,1,234.2623,6,155.8423,78.42,0,0,0
302,5,64.7486,2,46.2386,18.51,0,1,1
303,2,100.1435,3,76.7535,23.39,0,1,1
304,2,96.3288,4,45.9888,50.34,0,1,1
305,2,62.658,2,46.148,16.51,0,1,1
306,4,56.5998,2,48.2798,8.32,0,1,1
307,2,134.1343,2,134.1343,0,1,1,0
308,2,51.2248,2,41.4848,9.74,0,1,1
309,0,250.4201,6,236.4901,13.93,0,0,0
310,0,176.1932,3,176.1932,0,0,0,0
311,0,182.0273,7,128.3573,53.67,0,1,0
312,4,229.4595,5,151.8295,77.63,0,1,1
313,5,24.4845,2,13.6345,10.85,0,0,0
314,0,36.1446,1,36.1446,0,0,0,0
315,5,17.8,1,0,17.8,0,0,0
316,4,52.1184,1,52.1184,0,1,1,0
317,3,112.6374,3,94.8774,17.76,0,1,1
318,2,59.9521,1,59.9521,0,0,1,0
319,0,62.2196,7,51.3796,10.84,0,1,1
320,0,421.6099,15,151.7799,269.83,0,1,0
321,2,45.9011,1,45.9011,0,0,1,0
322,4,44.1991,1,44.1991,0,0,1,0
323,2,72.7869,2,55.1269,17.66,0,1,1
324,0,161.1554,3,161.1554,0,0,0,0
325,0,227.9411,7,141.6211,86.32,0,1,1
326,13,94.6557,3,86.3157,8.34,0,1,1
327,0,90.3711,2,90.3711,0,1,0,0
328,2,57.5912,2,39.9312,17.66,0,1,1
329,2,96.6905,5,46.7205,49.97,0,1,1
330,2,98.6044,4,48.6844,49.92,0,1,1
331,0,127.0783,6,81.8183,45.26,0,1,1
332,5,690.0935,15,40.3135,649.78,0,1,1
333,0,385.6066,7,327.1066,58.5,0,0,0
334,0,210.7454,7,155.3254,55.42,0,1,1
335,2,81.1896,3,46.7996,34.39,0,1,1
336,3,76.81,3,54.91,21.9,0,1,1
337,0,57.4931,1,57.4931,0,0,0,0
338,5,80.3623,2,59.2323,21.13,0,1,1
339,3,41.8866,2,41.8866,0,0,0,0
340,2,17.5903,1,17.5903,0,0,0,0
341,0,53.17,2,0,53.17,0,0,0
342,8,20.0738,1,20.0738,0,0,0,0
343,1,13.44,1,0,13.44,0,0,0
344,0,10.33,1,0,10.33,0,0,0
345,3,16.5677,1,16.5677,0,0,0,0
346,0,51.3359,2,51.3359,0,0,0,0
347,1,134.8537,4,124.4737,10.38,0,0,0
348,1,106.5329,4,83.8029,22.73,0,1,1
349,0,59.1311,1,59.1311,0,0,1,0
350,2,42.27,1,0,42.27,0,0,0
351,34,21.1218,1,21.1218,0,0,0,0
352,2,53.7171,1,53.7171,0,0,1,0
353,3,92.0418,3,46.2718,45.77,0,1,1
354,2,14.6847,1,14.6847,0,1,0,0
355,2,62.6007,2,50.6007,12,0,1,1
356,0,118.9281,8,68.6581,50.27,0,1,1
357,0,123.2583,2,123.2583,0,0,1,0
358,5,110.2147,3,110.2147,0,0,1,0
359,0,73.4355,2,73.4355,0,0,1,0
360,1,214.7121,6,137.3921,77.32,0,1,0
361,0,183.0111,6,139.1711,43.84,0,1,1
362,3,31.9,1,0,31.9,0,0,0
363,0,14.379,1,14.379,0,0,0,0
364,0,34.703,1,34.703,0,0,0,0
365,1,10.32,1,0,10.32,0,0,0
366,0,31.0814,2,31.0814,0,0,0,0
367,2,11.45,1,0,11.45,0,0,0
368,0,51.61,1,0,51.61,0,0,0
369,0,9.92,1,0,9.92,0,0,0
370,0,21.8038,1,21.8038,0,0,0,0
371,0,287.9314,6,231.3214,56.61,0,1,0
372,4,24.74,2,0,24.74,0,0,0
373,2,50.259,2,14.379,35.88,0,0,0
374,0,21.404,1,21.404,0,0,0,0
375,0,46.619,1,46.619,0,0,1,0
376,4,26.8209,1,26.8209,0,0,0,0
377,0,40.1637,1,40.1637,0,0,1,0
378,13,16.7024,1,16.7024,0,0,0,0
379,3,12.13,1,0,12.13,0,0,0
380,2,7.88,1,0,7.88,0,0,0
381,6,50.3654,2,15.2054,35.16,0,0,0
382,2,31.9395,1,31.9395,0,0,0,0
383,0,75.4917,4,75.4917,0,0,0,0
384,6,22.4561,1,22.4561,0,1,0,0
385,20,6538.16,1,0,6538.16,0,0,0
386,0,207.7811,6,146.0311,61.75,0,0,0
387,1,29.05,2,0,29.05,1,0,0
388,15,21.1218,1,21.1218,0,1,0,0
389,15,28.758,2,28.758,0,0,0,0
390,4,70.0273,2,49.9173,20.11,0,1,1
391,2,85.3078,5,36.2678,49.04,0,1,1
392,7,81.5274,3,63.8674,17.66,0,1,1
393,11,44.8917,1,44.8917,0,0,0,0
394,8,45.0422,1,45.0422,0,0,1,0
395,1,40.2331,1,40.2331,0,0,0,0
396,0,12.68,1,0,12.68,0,0,0
397,0,29.77,1,0,29.77,0,0,0
398,4,20.3891,1,20.3891,0,0,0,0
399,0,22.4061,1,22.4061,0,0,0,0
400,1,247.8547,6,180.1947,67.66,0,1,1
401,4,48.0624,2,39.6924,8.37,0,1,1
402,15,63.5034,2,53.1734,10.33,0,1,1
403,0,80.9449,2,80.9449,0,0,1,0
404,2,121.1664,4,84.5664,36.6,0,0,0
405,0,147.1663,3,147.1663,0,0,0,0
406,1,15.16,1,0,15.16,0,0,0
407,7,47.82,2,0,47.82,0,0,0
408,13,43.8013,2,43.8013,0,1,0,0
409,2,131.4797,3,116.1497,15.33,0,1,1
410,3,88.6784,3,55.2084,33.47,0,1,1
411,0,141.6546,2,141.6546,0,0,1,0
412,0,197.9949,2,197.9949,0,0,1,0
413,2,45.1166,1,45.1166,0,0,1,0
414,3,38.8335,1,38.8335,0,0,1,0
415,0,9.92,1,0,9.92,0,0,0
416,1,39.27,2,0,39.27,0,0,0
417,0,29.379,1,29.379,0,0,1,0
418,5,47.9931,1,47.9931,0,0,1,0
419,2,835.0634,5,113.6334,721.43,0,1,1
420,8,34.8624,1,34.8624,0,0,0,0
421,1,38.2967,2,38.2967,0,0,0,0
422,18,0,1,0,0,1,0,0
423,6,79.4775,2,60.0675,19.41,0,1,1
424,4,66.4678,2,40.1178,26.35,0,1,1
425,3,82.2597,3,43.0497,39.21,0,1,1
426,10,80.202,3,80.202,0,0,0,0
427,0,205.9309,6,146.5709,59.36,0,0,0
428,5,29.6449,1,29.6449,0,0,0,0
429,10,88.1676,2,88.1676,0,0,1,0
430,0,310.6929,7,213.7929,96.9,0,0,0
431,7,165.2449,3,165.2449,0,0,0,0
432,2,27.3558,1,27.3558,0,0,0,0
433,2,87.5735,3,59.6235,27.95,0,1,1
434,0,95.8618,7,53.1318,42.73,0,1,1
435,0,68.1852,3,68.1852,0,0,1,0
436,3,131.5681,3,108.7881,22.78,0,1,0
437,0,233.5254,6,179.2254,54.3,0,1,0
438,0,188.6326,6,154.1126,34.52,0,1,0
439,1,179.7612,6,127.8612,51.9,0,1,0
440,1,242.4382,6,155.1982,87.24,0,1,0
441,2,178.7953,4,160.9853,17.81,0,1,0
442,1,361.3277,5,361.3277,0,0,0,0
443,5,31.6385,1,31.6385,0,0,0,0
444,5,100.4566,3,41.0466,59.41,0,1,1
445,3,146.789,2,146.789,0,1,0,0
446,1,144.6855,1,144.6855,0,2,1,0
447,0,29.2197,1,29.2197,0,0,0,0
448,16,22.4,1,0,22.4,1,0,0
449,2,4.507,1,4.507,0,0,0,0
450,2,33.28,1,0,33.28,0,0,0
451,4,82.6489,3,44.5089,38.14,1,1,1
452,11,108.4949,1,108.4949,0,0,1,0
453,5,66.173,2,51.623,14.55,0,1,1
454,3,91.4775,2,52.7175,38.76,0,1,1
455,0,81.0574,1,81.0574,0,1,1,0
456,9,109.0025,3,84.0425,24.96,0,0,0
457,0,9.92,1,0,9.92,0,0,0
458,0,74.7556,1,74.7556,0,0,0,0
459,2,132.434,4,110.984,21.45,0,0,0
460,4,163.5014,2,163.5014,0,0,1,0
461,2,21.74,1,0,21.74,0,0,0
462,2,56.9798,2,45.1398,11.84,0,1,1
463,27,81.3059,2,81.3059,0,0,0,0
464,0,288.2651,7,200.2451,88.02,0,1,0
465,4,238.1619,6,141.1519,97.01,0,0,0
466,15,23.5978,1,23.5978,0,0,0,0
467,0,25.6346,1,25.6346,0,0,0,0
468,3,53.6,2,0,53.6,0,0,0
469,2,42.253,2,14.523,27.73,0,1,1
470,2,81.1136,1,81.1136,0,0,1,0
471,0,253.7988,8,133.7988,120,0,0,0
472,3,45.1846,1,45.1846,0,0,1,0
473,0,138.2438,3,110.1438,28.1,0,1,0
474,1,121.1379,3,121.1379,0,0,0,0
475,0,748.96,1,0,748.96,0,0,0
476,2,18.8246,3,18.8246,0,0,0,0
477,0,105.3102,7,69.8102,35.5,0,1,1
478,13,135.8607,2,135.8607,0,0,0,0
479,7,108.1378,5,96.8878,11.25,0,0,0
480,2,155.1079,3,155.1079,0,0,1,0
481,0,29.05,1,0,29.05,0,0,0
482,10,68.9504,1,68.9504,0,0,1,0
483,1,211.8729,7,146.1029,65.77,0,1,0
484,2,0,0,0,0,0,0,0
485,10,45.5108,3,26.3508,19.16,0,1,1
486,1,32.855,1,32.855,0,0,0,0
487,0,18.1547,1,18.1547,0,1,0,0
488,5,53.33,2,0,53.33,0,0,0
489,0,47.33,2,0,47.33,0,0,0
490,2,116.1033,4,84.1333,31.97,0,0,0
491,5,75.851,1,75.851,0,0,1,0
492,3,62.5063,2,51.4563,11.05,0,1,1
493,0,205.0896,3,205.0896,0,0,0,0
494,0,306.7945,6,219.8045,86.99,0,1,0
495,0,154.8324,9,133.3424,21.49,0,0,0
496,0,23.2079,1,23.2079,0,0,0,0
497,12,132.6729,4,121.6729,11,0,0,0
498,0,218.188,6,175.468,42.72,0,1,0
499,2,56.2694,2,39.8494,16.42,0,1,1
500,1,85.0987,6,33.2087,51.89,1,1,1
501,1,418.7971,14,180.5671,238.23,0,1,0
502,12,176.7429,10,176.7429,0,0,0,0
503,3,55.6954,2,44.4454,11.25,0,1,1
504,0,93.3432,6,93.3432,0,0,0,0
505,5,113.5485,3,77.8885,35.66,0,1,1
506,0,335.9866,5,321.9366,14.05,0,0,0
507,5,138.6056,2,137.1856,1.42,0,1,1
508,1,113.7648,6,101.2248,12.54,0,0,0
509,0,57.8489,2,47.5189,10.33,0,1,1
510,0,16.7024,1,16.7024,0,0,0,0
511,0,168.9322,4,142.9522,25.98,0,1,0
512,0,106.9854,4,57.7254,49.26,0,1,1
513,0,274.555,5,238.155,36.4,0,0,0
514,0,39.6101,1,39.6101,0,0,0,0
515,0,45.418,2,37.098,8.32,0,1,1
516,15,132.6052,2,132.6052,0,0,0,0
517,1,272.3724,7,136.6724,135.7,0,1,1
518,3,45.9345,1,45.9345,0,0,1,0
519,5,86.3955,3,47.8655,38.53,0,1,1
520,0,151.2122,4,151.2122,0,0,1,0
521,0,80.6798,2,68.9898,11.69,0,1,1
522,0,1021.6022,3,42.6422,978.96,0,1,1
523,0,262.437,12,228.017,34.42,0,0,0
524,1,179.0189,9,144.3089,34.71,1,0,0
525,2,54.3369,1,54.3369,0,0,1,0
526,0,309.5542,7,237.5442,72.01,0,0,0
527,0,16.0802,3,16.0802,0,0,0,0
528,2,91.0311,2,75.3411,15.69,0,1,1
529,0,199.7155,6,141.7855,57.93,0,0,0
530,14,24.6236,1,24.6236,0,0,0,0
531,2,119.4839,5,77.8939,41.59,0,1,1
532,3,49.1243,1,49.1243,0,0,1,0
533,4,52.5289,2,44.3789,8.15,0,1,0
534,0,188.2255,4,150.1555,38.07,0,0,0
535,0,40.4664,6,4.6264,35.84,1,1,1
536,0,34.14,1,0,34.14,0,0,0
537,0,24.466,1,24.466,0,0,0,0
538,2,51.45,1,0,51.45,0,0,0
539,0,254.2736,8,179.1136,75.16,0,0,0
540,3,25.1202,1,25.1202,0,1,0,0
541,2,21.2785,1,21.2785,0,0,0,0
542,4,44.6333,2,20.3533,24.28,0,0,0
543,15,112.8453,3,81.5053,31.34,0,0,0
544,0,142.7974,2,142.7974,0,0,1,0
545,0,14.5477,1,14.5477,0,0,0,0
546,2,115.3018,6,104.1518,11.15,0,0,0
547,2,65.2267,2,46.2067,19.02,1,1,1
548,0,323.0139,5,240.1739,82.84,0,0,0
549,4,38.8133,1,38.8133,0,0,1,0
550,4,45.31,1,0,45.31,0,0,0
551,2,72.8217,2,54.1717,18.65,0,1,1
552,2,63.2933,2,45.6333,17.66,0,1,1
553,5,108.6081,2,92.9481,15.66,0,1,1
554,0,100.628,6,47.338,53.29,0,1,1
555,1,300.5099,5,160.2299,140.28,0,1,1
556,0,207.9662,6,162.5662,45.4,0,0,0
557,0,201.5085,3,201.5085,0,0,1,0
558,0,174.6084,9,128.8784,45.73,0,0,0
559,2,27.5248,1,27.5248,0,0,0,0
560,1,235.199,6,130.569,104.63,0,0,0
561,2,58.7381,2,50.3081,8.43,0,1,1
562,1,449.9285,3,429.3385,20.59,0,1,1
563,0,6.9586,2,6.9586,0,0,0,0
564,2,86.8833,3,46.0833,40.8,0,1,1
565,0,123.7354,2,123.7354,0,0,1,0
566,1,212.6784,6,134.9284,77.75,0,1,0
567,2,3.8,1,0,3.8,0,0,0
568,5,103.2968,4,70.1968,33.1,0,1,1
569,2,59.2973,2,40.7873,18.51,0,1,1
570,2,54.8181,2,43.8181,11,0,1,1
571,0,101.844,3,72.574,29.27,0,1,1
